market_id,entry_minute,trade_date,pnl,position,mid_price,best_bid,best_ask,open_interest_all,tte_minutes,session,us_day,cn_day
1474004,2026-03-02 06:12:00,2026-03-02,-0.19499999999999995,-1.0,0.815,0.81,0.82,50629.527854,3.0,China Only,US Weekday,CN Weekday
1474191,2026-03-02 07:01:00,2026-03-02,0.23628000000000005,-1.0,0.265,0.26,0.27,24349.851394,4.0,China Only,US Weekday,CN Weekday
1474381,2026-03-02 07:42:00,2026-03-02,0.10636000000000001,-1.0,0.125,0.12,0.13,31357.622613999996,3.0,China Only,US Weekday,CN Weekday
1474393,2026-03-02 07:51:00,2026-03-02,0.4218799999999999,-1.0,0.47,0.46,0.48,27091.119642,4.0,China Only,US Weekday,CN Weekday
1474605,2026-03-02 08:41:00,2026-03-02,0.43116,1.0,0.525,0.52,0.53,24920.313858,4.0,China Only,US Weekday,CN Weekday
1474700,2026-03-02 09:01:00,2026-03-02,-0.425,1.0,0.4,0.38,0.42,54464.829942,4.0,China Only,US Weekday,CN Weekday
1474811,2026-03-02 09:22:00,2026-03-02,-0.505,1.0,0.495,0.49,0.5,64812.460508,3.0,China Only,US Weekday,CN Weekday
1474930,2026-03-02 10:07:00,2026-03-02,-0.28500000000000003,-1.0,0.725,0.72,0.73,34972.814334,3.0,China Only,US Weekday,CN Weekday
1475026,2026-03-02 10:21:00,2026-03-02,-0.42500000000000004,-1.0,0.59,0.58,0.6,31001.495452,4.0,China Only,US Weekday,CN Weekday
1475040,2026-03-02 10:27:00,2026-03-02,-0.485,-1.0,0.525,0.52,0.53,37777.825336,3.0,China Only,US Weekday,CN Weekday
1475049,2026-03-02 10:31:00,2026-03-02,0.44972,1.0,0.5,0.49,0.51,31172.655164000003,4.0,China Only,US Weekday,CN Weekday
1475213,2026-03-02 10:56:00,2026-03-02,-0.6749999999999999,-1.0,0.335,0.33,0.34,29605.665141999998,4.0,China Only,US Weekday,CN Weekday
1475231,2026-03-02 11:14:00,2026-03-02,0.74668,-1.0,0.815,0.81,0.82,84152.18997,1.0,China Only,US Weekday,CN Weekday
1475329,2026-03-02 11:34:00,2026-03-02,-0.33499999999999996,-1.0,0.675,0.67,0.68,73626.179446,1.0,China Only,US Weekday,CN Weekday
1475545,2026-03-02 12:26:00,2026-03-02,-0.375,-1.0,0.635,0.63,0.64,36678.287566000006,4.0,China Only,US Weekday,CN Weekday
1475743,2026-03-02 13:41:00,2026-03-02,-0.515,1.0,0.505,0.5,0.51,21648.64958,4.0,China Only,US Weekday,CN Weekday
1475804,2026-03-02 13:56:00,2026-03-02,-0.525,-1.0,0.485,0.48,0.49,51767.443728,4.0,China Only,US Weekday,CN Weekday
1476021,2026-03-02 14:32:00,2026-03-02,-0.07499999999999996,-1.0,0.935,0.93,0.94,71908.17971600001,3.0,Overlap,US Weekday,CN Weekday
1476352,2026-03-02 16:01:00,2026-03-02,-0.5850000000000001,-1.0,0.435,0.42,0.45,32120.795782,4.0,US Only,US Weekday,CN Weekday
